index,Protein,rots_pvalues,rots_fdr,rots_logfc,rots_d
3368,3368,0.7630417841769334,0.8848883503548555,0.017099642208901145,-0.31427338318174347
3369,3369,0.06162127059522043,0.24892334194659776,0.16205185740820127,-1.923381567016178
3370,3370,0.9324870120231558,0.9696384425216317,-0.027390654119901825,0.0882457309354023
3371,3371,0.03237976844292712,0.20601851851851852,0.1121729212406386,-2.2040827589596437
3372,3372,0.05148842214635595,0.2407221664994985,0.16143885254947676,-2.0039002143367397
3373,3373,0.06559818910494285,0.2585345545378851,-0.21563339977908846,1.8946070138339777
3374,3374,0.20559856018999556,0.4415464298927118,0.03652772610391786,-1.3077301884923234
3375,3375,0.06470832714858246,0.2575,-0.093989279182491,1.9007593982356936
3376,3376,0.7458338281134036,0.8726175904878475,0.01439059453943159,-0.33784174338779827
3377,3377,0.08822361585275346,0.29643093192333114,-0.40982132382502634,1.7547509527801188
3378,3378,0.7219133145316906,0.8592276205730557,-0.03659069681302363,0.37099754817564523
3379,3379,0.1552014991836129,0.37948604342046965,0.11198892303755414,-1.46592061444323
3380,3380,0.041912201276532585,0.2214723926380368,-0.32913850189562055,2.094328821258922
3381,3381,0.9756735193706397,0.9890159494432742,-0.0014056274606684127,-0.03180998544965565
3382,3382,0.013209514620751076,0.15845070422535212,0.2529018264863989,-2.5566782820340377
3383,3383,0.13186915541042007,0.35402184707050643,0.10590194226664806,-1.5521249786295181
3384,3384,0.17807147098114887,0.4132364810330912,0.1189362039448909,-1.3898578264839008
3386,3386,0.3486529612587205,0.5922538999462077,-0.11103648650822073,0.9720011270996703
3388,3388,0.05836240166246104,0.24772727272727274,0.1325023794479776,-1.9479193300614321
3389,3389,0.7799276384147247,0.8935770413392552,0.04818663000298962,-0.29130686865121
3390,3390,0.05425337687397951,0.2429951690821256,-0.24010433886882154,1.980554808618814
3391,3391,0.6782232447677008,0.8369987063389392,-0.06590084802061114,0.4322272333654518
3392,3392,0.9915485379248924,0.996420581655481,0.0022169353692298444,0.011077247419791344
3393,3393,0.03397506308445896,0.20898716119828814,0.20124349142388454,-2.1837851146236673
3394,3394,0.009919103458512692,0.1461187214611872,-0.15378799158843037,2.660940041758515
3395,3395,0.073515288704171,0.2705660377358491,0.9781585310847865,-1.8417613690000103
3396,3396,0.2798411755974469,0.5205081114172023,0.04592718940711826,-1.1187838540669297
3397,3397,0.6895517292563456,0.8449697636063771,0.018143636670085783,-0.4161327515629353
3398,3398,0.36826183761318093,0.6051813471502591,0.05520030931451103,-0.9333626395975765
3399,3399,0.09617522636188214,0.3077399380804954,0.12219135685035276,-1.712394437543241
3400,3400,0.30953169066350006,0.5498419994254524,0.03585442627816349,-1.0528313691864009
3401,3401,0.5167941962297758,0.7305382800772036,0.2293600355008163,-0.6746411285057649
3402,3402,0.09601380436396022,0.3073110285006196,0.07597547719289999,-1.7131944023417265
3403,3403,0.32198270743654445,0.5648512071869736,0.047429743989106044,-1.0262175168134169
3404,3404,0.573681534807778,0.7670420269455057,-0.07944230058357604,0.5856966678769413
3405,3405,0.8741145910642719,0.9405980172689479,-0.012819185710732484,0.16518492477842647
3406,3406,0.08771522933056257,0.29589131875414176,0.08964689598033715,-1.7575693905712606
3407,3407,0.021519593290782246,0.1867881548974943,0.17806318730755422,-2.369207835127407
3408,3408,0.037168249962891496,0.215564738292011,0.20054104447310905,-2.1451675524547134
3409,3409,0.052053584681609026,0.2407221664994985,0.186865634747706,-1.9990956628124146
3410,3410,0.4090288704170996,0.6432228181374939,0.08342900408395337,-0.8573300981190736
3411,3411,0.24189661570431942,0.4875546585940128,-0.08416488687856472,1.2102935527649692
3412,3412,0.11177823957251001,0.33112582781456956,0.11471391218120708,-1.6372627962151554
3413,3413,0.10179976250556627,0.3166866028708134,0.0878619356062309,-1.6841895371627273
3414,3414,0.9816375983375389,0.9910098891219659,-0.022989902021929964,0.02403391033822477
3415,3415,0.9512550096482114,0.978838808250573,0.0038554175846350347,0.06363021109616329
3416,3416,0.12779315719162831,0.3503297818366311,0.13924216902490905,-1.568498527822255
3417,3417,0.2809770669437435,0.5214873514172509,0.07060871046644479,-1.1162310224664205
3418,3418,0.3911952649547276,0.627600902481825,0.06728295152840502,-0.8900137108543151
3419,3419,0.03073994359507199,0.20226537216828477,0.15215020083421038,-2.2256763722325474
3420,3420,0.06323586165949235,0.2531969309462916,-0.3866243686185822,1.911201890031515
3421,3421,0.09027942704467865,0.29702650290885585,0.11974327280220365,-1.743384740523042
